"Geneid","log2FC_T20","padj_T20","log2FC_T26","padj_T26"
"Cvel_27342",-10.05284165245,1.04926494477035e-19,-11.8800441501303,1.15541217664285e-21
"Cvel_18803",-7.8915922630898,5.4171124946453e-58,-11.8540986360921,2.34841460859888e-37
"Cvel_15922",-11.8392381790762,2.72187000584251e-28,-8.89503324537758,3.91276102353609e-50
"Cvel_12819",-8.59581097991273,7.48905058025134e-24,-11.8378707904365,3.5689355943303e-21
"Cvel_13066",-11.8268072398229,8.11971552564295e-28,-9.26906338156924,2.63337367055711e-70
"Cvel_11260",-11.8083902812135,2.07681188274259e-20,-9.38576997060371,2.21175444367412e-12
"Cvel_5045",-7.78211739329266,2.47292233232393e-23,-11.7846573796252,8.92748542774266e-18
"Cvel_13304",-11.7794213574749,1.11287792248723e-17,-8.77140261401647,3.74288315255712e-29
"Cvel_20378",-11.7453256252737,1.71965379683251e-20,-11.7599996484362,1.5320483762795e-20
"Cvel_12856",-11.1224570332741,5.02012554566049e-18,-11.7398205266273,9.39653235422139e-21
"Cvel_1994",-11.737775165877,1.99286324159169e-20,-5.8499051261255,6.79444470733655e-05
"Cvel_26451",-11.727498354402,6.37457246085338e-20,-11.4372586131873,4.69803722662609e-20
"Cvel_16419",-10.6320519137174,7.05669527685392e-17,-11.7269815563958,7.06021011925936e-21
"Cvel_8708",-11.5534048745291,3.51121607090563e-19,-11.7196700987078,3.37065652846415e-21
"Cvel_10806",-11.7179544862626,8.41129213507368e-19,-7.2239006774587,3.1521230587781e-18
"Cvel_17221",-10.6036664531979,7.73339256194867e-16,-11.6861249308586,5.97421364741136e-21
"Cvel_23117",-11.6836907266618,7.98182304878914e-20,-11.4879314270767,5.82704437777575e-20
"Cvel_19150",-11.4342414977355,3.06759684795451e-19,-11.6713722299295,5.38473326962486e-21
"Cvel_8254",-11.1213057410902,4.50943923045497e-18,-11.6650712954592,5.7604183002142e-21
"Cvel_9493",-11.2262146953106,2.25958766352275e-18,-11.6431941298314,9.76698749902923e-21
"Cvel_3040",-10.8007307240965,9.8699212744807e-17,-11.6305308823426,1.01796919124094e-20
"Cvel_12826",-11.3694440357661,2.01456393620371e-18,-11.5997922451313,1.50891227300319e-20
"Cvel_8903",-9.66511850038688,2.90338983104478e-17,-11.5930302514411,2.09433299690059e-20
"Cvel_16498",-8.63233747863488,1.44962140958972e-20,-11.5757980162705,2.39160791083014e-19
"Cvel_28761",-10.2535380616458,8.32890813848601e-39,-11.5701744182376,2.30684401037481e-26
"Cvel_25342",-9.27824369068638,2.82467873965124e-22,-11.5618829933243,2.9043779706138e-20
"Cvel_8467",-10.460454905298,4.18202116300288e-15,-11.5458137466313,6.89453197068532e-20
"Cvel_9776",-11.5450492646604,2.54289178248206e-19,-8.53439538480217,5.35674253308823e-38
"Cvel_24957",-9.31475055462501,3.29100077829178e-41,-11.5448124685151,5.28179260586401e-27
"Cvel_13307",-11.5436379201458,2.50005207202269e-16,-10.03003726866,4.10627057771039e-17
"Cvel_7896",-10.6113516105751,6.73646553269664e-16,-11.5414844635827,3.06799152143465e-20
"Cvel_10710",-9.83169438785471,1.28331775546571e-12,-11.5363288667414,1.75247756231984e-20
"Cvel_12501",-9.89489711331986,5.43911308771824e-19,-11.5243120978445,3.00368118258807e-20
"Cvel_3320",-11.2759687776156,1.08115385889023e-18,-11.5154660593883,2.14675495865125e-20
"Cvel_5549",-7.63542260330872,9.58236180642097e-25,-11.5051824486095,4.92700978676167e-20
"Cvel_27461",-6.83631550261652,9.37307216060671e-27,-11.5000951538268,8.7547586909436e-20
"Cvel_15696",-11.1185053364836,1.18839575403395e-16,-11.4995149859575,1.23435446894731e-18
"Cvel_12397",-11.4888081741828,3.70620195863576e-19,-9.44122510421014,1.06287391590232e-12
"Cvel_20663",-11.4865641918306,1.02373919789558e-26,-9.96284871020087,3.97341253637436e-35
"Cvel_24539",-11.3221615128665,6.60865630435065e-19,-11.4660220211983,1.79265288335887e-19
"Cvel_18050",-11.4578744969097,8.38967246016226e-19,-11.1111850906887,7.17893538278435e-19
"Cvel_7895",-7.76932333253373,2.23385519834909e-18,-11.4475580293016,5.93346591368727e-20
"Cvel_15121",-10.5132774446527,1.31350170089854e-15,-11.4399018808184,5.55186945598477e-20
"Cvel_6723",-8.04317125673533,6.0891847445303e-29,-11.4360566314906,1.07029687104222e-18
